Species2,Country2,Speciality2,Source2,Year2,Antifungals,MIC_Interpretation
Candida albicans,Ireland,Unknown,Sputum,2010,Fluconazole,Susceptible
Candida albicans,Ireland,Unknown,Sputum,2010,Anidulafungin,Susceptible
Candida albicans,Ireland,Unknown,Sputum,2010,Micafungin,Susceptible
Candida albicans,Ireland,Unknown,Unknown,2010,Caspofungin,Susceptible
Candida albicans,Ireland,Unknown,Unknown,2010,Voriconazole,Susceptible
Candida albicans,Ireland,Unknown,Sputum,2010,Fluconazole,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Intensive Care Unit,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,Ireland,Unknown,Sputum,2010,Caspofungin,Susceptible
Candida tropicalis,USA,Hematology/Oncology,Blood culture,2010,Voriconazole,Intermediate
Candida tropicalis,Israel,Hematology/Oncology,Blood culture,2010,Anidulafungin,Susceptible
Candida tropicalis,Israel,Hematology/Oncology,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,USA,Neurology,Blood culture,2010,Caspofungin,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Anidulafungin,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Fluconazole,Intermediate
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,USA,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Internal Medicine,Unknown,2010,Caspofungin,Susceptible
Candida albicans,USA,Internal Medicine,Unknown,2010,Voriconazole,Susceptible
Candida albicans,Ireland,Unknown,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,Ireland,Cardiothoracic/Pulmonary,Bronchoalveolar lavage/wash,2010,Anidulafungin,Susceptible
Candida albicans,Ireland,Cardiothoracic/Pulmonary,Bronchoalveolar lavage/wash,2010,Micafungin,Susceptible
Candida albicans,Ireland,General/GI,Other,2010,Caspofungin,Susceptible
Candida albicans,Ireland,General/GI,Other,2010,Voriconazole,Susceptible
Candida albicans,Ireland,Hematology/Oncology,Bronchoalveolar lavage/wash,2010,Fluconazole,Susceptible
Candida albicans,Ireland,Internal Medicine,Plueral fluid,2010,Anidulafungin,Susceptible
Candida albicans,Ireland,Internal Medicine,Plueral fluid,2010,Micafungin,Susceptible
Aspergillus fumigatus,Ireland,Internal Medicine,Bronchoalveolar lavage/wash,2010,Voriconazole,Susceptible
Candida albicans,Ireland,Intensive Care Unit,Other,2010,Fluconazole,Susceptible
Candida tropicalis,USA,Internal Medicine,Blood culture,2010,Anidulafungin,Susceptible
Candida tropicalis,USA,Internal Medicine,Blood culture,2010,Micafungin,Susceptible
Candida tropicalis,USA,Internal Medicine,Blood culture,2010,Caspofungin,Susceptible
Candida tropicalis,USA,Infectious Disease,Blood culture,2010,Anidulafungin,Susceptible
Candida tropicalis,USA,Infectious Disease,Blood culture,2010,Micafungin,Susceptible
Candida glabrata,USA,General/GI,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,USA,Internal Medicine,Blood culture,2010,Fluconazole,Susceptible
Candida albicans,USA,Surgery,Blood culture,2010,Anidulafungin,Susceptible
Candida albicans,USA,Surgery,Blood culture,2010,Micafungin,Susceptible
Candida parapsilosis,USA,Surgery,Blood culture,2010,Fluconazole,Susceptible
Candida glabrata,Ireland,Unknown,Blood culture,2010,Caspofungin,Susceptible
Candida albicans,Ireland,Unknown,Abscess (pus),2010,Anidulafungin,Susceptible
Candida albicans,Ireland,Unknown,Abscess (pus),2010,Micafungin,Susceptible
Candida albicans,Ireland,Intensive Care Unit,Other,2010,Fluconazole,Susceptible
Candida glabrata,USA,Hematology/Oncology,Blood culture,2010,Anidulafungin,Susceptible
